Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Nuclear engineers,7,0,0,2,2,0,1,2,–
Petroleum engineers,23,0,0,5,10,3,2,3,–
"Engineers, all other",697,2,33,209,146,143,121,42,42.2
Architectural and civil drafters,38,0,3,7,10,5,8,6,–
Other drafters,92,1,6,19,27,20,13,6,42.1
Electrical and electronic engineering technologists and technicians,85,2,3,17,24,19,14,7,43.9
"Other engineering technologists and technicians, except drafters",355,6,28,71,73,67,91,19,45.2
Surveying and mapping technicians,53,4,4,19,11,8,5,3,37.4
"Life, physical, and social science occupations","1,877",16,156,547,440,348,236,133,40.8
Agricultural and food scientists,23,0,1,9,5,7,0,1,–
Biological scientists,105,0,7,38,22,19,9,10,39.0
Conservation scientists and foresters,24,0,3,4,4,6,6,2,–
Medical scientists,127,0,1,41,46,15,18,7,41.5
"Life scientists, all other",6,0,1,1,3,1,0,0,–
Astronomers and physicists,23,0,2,5,5,5,3,3,–
Atmospheric and space scientists,8,0,0,3,2,1,0,1,–
Chemists and materials scientists,87,0,4,25,17,25,8,7,43.6
"Environmental scientists and specialists, including health",51,0,4,20,10,5,10,1,38.5
"Geoscientists and hydrologists, except geographers",37,0,0,10,14,2,4,6,–
"Physical scientists, all other",474,0,25,178,134,71,44,22,39.2
Economists,28,0,0,10,6,5,2,3,–
Survey researchers,1,0,0,0,0,0,1,0,–
Clinical and counseling psychologists,16,0,0,2,5,6,1,2,–
School psychologists,52,0,1,10,13,18,6,3,45.8
Other psychologists,163,0,5,27,36,35,24,36,49.7
Sociologists,4,0,0,0,1,1,1,0,–
Urban and regional planners,45,0,2,8,17,9,5,3,–
Miscellaneous social scientists and related workers,38,0,4,7,10,10,5,2,–
Agricultural and food science technicians,52,3,5,16,8,7,10,3,37.7
Biological technicians,21,0,2,12,1,2,3,0,–
Chemical technicians,57,0,4,13,12,12,15,1,42.5
Environmental science and geoscience technicians,18,0,3,8,3,0,4,0,–
Nuclear technicians,6,0,0,2,2,0,1,1,–
Social science research assistants,6,0,0,0,4,1,0,0,–
"Other life, physical, and social science technicians",340,12,79,83,52,60,42,13,35.4
Occupational health and safety specialists and technicians,67,1,3,15,8,25,12,4,46.9
Community and social service occupations,"2,950",28,168,681,708,614,493,259,43.4
Substance abuse and behavioral disorder counselors,130,2,10,53,29,15,16,6,36.0
"Educational, guidance, and career counselors and advisors",388,7,30,107,89,83,55,18,40.9
Marriage and family therapists,31,0,1,5,11,6,4,4,–
Mental health counselors,199,0,4,62,55,39,26,14,42.4
Rehabilitation counselors,13,0,1,1,2,2,4,1,–
"Counselors, all other",285,5,18,50,60,68,58,24,44.4
"Child, family, and school social workers",68,0,2,12,25,14,9,7,43.7
Healthcare social workers,75,1,2,23,22,14,9,5,41.3
Mental health and substance abuse social workers,22,0,2,3,6,3,3,5,–
"Social workers, all other",732,2,36,184,189,164,119,39,42.7
Probation officers and correctional treatment specialists,72,0,5,19,18,22,6,2,40.4
Social and human service assistants,265,4,23,62,61,52,44,19,41.6
Other community and social service specialists,109,3,11,27,15,21,24,8,44.0
Clergy,395,0,8,54,90,73,87,84,51.2
"Directors, religious activities and education",71,1,7,12,18,16,12,5,43.2
"Religious workers, all other",94,4,7,9,17,21,17,18,47.4
Legal occupations,"1,832",5,46,364,471,397,332,216,45.8
Lawyers,"1,146",0,0,220,322,251,194,159,46.3
Judicial law clerks,21,2,1,11,4,2,0,1,–
"Judges, magistrates, and other judicial workers",68,0,0,3,18,13,19,15,53.7
Paralegals and legal assistants,428,1,35,91,90,100,84,27,43.9
"Title examiners, abstractors, and searchers",93,0,2,22,17,20,25,8,47.0
"Legal support workers, all other",75,2,8,18,20,11,10,6,40.2
"Education, training, and library occupations","9,587",147,757,"2,020","2,304","2,267","1,423",668,43.0
Postsecondary teachers,"1,072",3,28,136,251,311,199,145,49.0
Preschool and kindergarten teachers,624,15,78,140,159,123,82,29,40.3
Elementary and middle school teachers,"3,632",12,178,792,990,968,512,181,43.1
Secondary school teachers,887,1,44,197,235,240,116,55,43.3
Special education teachers,318,0,18,57,78,88,63,14,45.4
Tutors,173,19,59,31,19,12,19,14,27.8
Other teachers and instructors,965,33,80,212,203,196,141,100,42.9
"Archivists, curators, and museum technicians",77,0,5,16,22,15,8,11,43.2
Librarians and media collections specialists,180,2,14,27,38,37,45,16,47.3
Library technicians,32,2,2,9,6,4,3,5,–
Teaching assistants,"1,436",57,236,370,265,229,201,79,37.7
Other educational instruction and library workers,190,4,14,33,40,46,35,19,46.0
"Arts, design, entertainment, sports, and media occupations","3,483",115,272,886,830,630,460,290,41.1
Artists and related workers,318,6,12,79,86,62,39,33,42.6
Commercial and industrial designers,16,0,3,4,3,1,3,2,–
Fashion designers,38,5,2,9,13,6,2,2,–
Floral designers,45,6,9,8,6,8,6,2,–
Graphic designers,294,1,18,92,74,59,38,12,41.0
Interior designers,117,0,12,27,28,20,17,13,42.2
Merchandise displayers and window trimmers,40,0,0,16,6,6,8,4,–
Other designers,419,4,25,110,118,77,58,27,41.7
Actors,57,1,11,14,12,8,6,5,38.3
Producers and directors,175,0,9,51,46,32,29,8,41.8
Athletes and sports competitors,23,0,2,11,5,3,3,0,–
Coaches and scouts,340,60,50,63,65,46,35,22,34.5
"Umpires, referees, and other sports officials",33,15,7,4,1,0,2,4,–
Dancers and choreographers,17,1,3,8,1,1,1,1,–
Music directors and composers,47,0,4,15,12,5,5,5,–
Musicians and singers,168,4,10,33,35,26,22,39,46.3
"Disc jockeys, except radio",24,0,1,6,12,1,3,1,–
"Entertainers and performers, sports and related workers, all other",38,2,7,11,10,4,2,2,–
Broadcast announcers and radio disc jockeys,20,0,0,3,3,7,4,2,–
"News analysts, reporters, and journalists",73,0,5,18,21,14,6,10,41.4
Public relations specialists,114,0,7,42,29,19,9,8,37.5
Editors,132,0,12,21,21,44,22,12,46.7
Technical writers,63,0,1,10,15,12,20,5,48.3
Writers and authors,257,2,13,59,53,51,39,39,44.8
Interpreters and translators,92,1,5,14,21,23,19,10,46.9
Court reporters and simultaneous captioners,24,0,1,6,5,3,6,3,–
"Media and communication workers, all other",38,1,3,11,13,4,5,1,–
"Broadcast, sound, and lighting technicians",117,0,15,26,38,26,11,2,40.0
Photographers,210,1,16,63,43,47,26,13,41.4
"Television, video, and film camera operators and editors",133,3,10,50,35,17,13,5,36.5
"Media and communication equipment workers, all other",2,0,0,1,0,0,1,0,–
Healthcare practitioners and technical occupations,"10,475",71,606,"2,773","2,723","2,090","1,573",640,42.0
Chiropractors,55,0,0,6,15,13,11,10,49.1
Dentists,169,0,0,19,57,41,35,17,47.2
Dietitians and nutritionists,142,0,6,34,29,42,21,9,44.5
Optometrists,36,0,0,6,6,7,9,8,–
Pharmacists,326,0,14,96,99,54,38,24,41.3
Emergency medicine physicians,20,0,0,7,4,7,3,0,–
Radiologists,26,0,0,5,5,5,4,8,–
Other physicians,904,0,3,196,253,188,147,116,45.6
Surgeons,41,0,0,7,14,12,4,4,–
Physician assistants,182,3,4,73,48,29,20,4,38.4
Podiatrists,8,0,0,2,2,0,2,2,–
Audiologists,31,0,1,10,6,9,4,1,–
Occupational therapists,155,0,1,54,37,31,27,5,42.1
Physical therapists,320,1,13,101,78,69,44,14,42.0
Radiation therapists,8,0,0,2,2,1,3,0,–
Recreational therapists,10,0,4,1,3,0,1,0,–
Respiratory therapists,84,0,1,20,27,19,13,3,42.0
Speech-language pathologists,212,0,12,67,69,40,18,6,39.9
Exercise physiologists,5,0,0,3,2,0,0,0,–
"Therapists, all other",385,1,27,131,76,83,45,22,39.8
Veterinarians,98,0,1,20,42,20,11,5,42.8
Registered nurses,"3,571",3,171,967,934,718,581,197,42.3
Nurse anesthetists,31,0,0,5,11,9,3,3,–
Nurse midwives,18,0,0,2,7,5,2,2,–
Nurse practitioners,288,0,1,59,101,74,35,17,43.1
Acupuncturists,20,0,0,0,5,9,4,3,–
"Healthcare diagnosing or treating practitioners, all other",16,0,1,2,4,4,4,1,–
Clinical laboratory technologists and technicians,338,4,37,98,68,55,60,17,40.0
Dental hygienists,214,4,5,49,64,38,45,8,42.6
Cardiovascular technologists and technicians,61,0,2,15,15,18,8,3,41.9
Diagnostic medical sonographers,104,0,5,30,25,28,11,5,41.3
Radiologic technologists and technicians,254,3,18,71,64,50,37,12,40.2
Magnetic resonance imaging technologists,55,0,1,12,13,13,14,2,45.6
Nuclear medicine technologists and medical dosimetrists,48,0,0,6,15,12,12,2,–
Emergency medical technicians,173,5,44,67,26,18,11,1,30.8
Paramedics,95,0,3,27,25,21,15,4,42.6
Pharmacy technicians,354,10,65,105,78,58,25,13,35.7
Psychiatric technicians,138,4,29,45,29,16,7,6,33.6
Surgical technologists,117,1,8,26,37,23,17,5,41.3
Veterinary technologists and technicians,145,6,33,60,25,9,12,0,30.2
Dietetic technicians and ophthalmic medical technicians,83,12,23,18,11,3,9,7,29.6
Licensed practical and licensed vocational nurses,565,8,47,119,151,111,92,37,42.4
Medical records specialists,227,0,2,35,49,69,54,18,49.7
"Opticians, dispensing",49,0,2,13,10,12,10,2,–
Miscellaneous health technologists and technicians,151,0,16,38,40,31,19,8,40.6
Other healthcare practitioners and technical occupations,143,3,6,44,39,18,23,10,41.0
,,,,,,,,,
Service occupations,"26,452","2,317","3,729","5,580","5,003","4,349","3,714","1,759",38.5
Healthcare support occupations,"5,456",150,715,"1,198","1,052",991,940,409,41.2
Home health aides,656,5,34,117,116,158,149,76,47.8
Personal care aides,"1,667",39,159,298,297,305,373,197,46.1
Nursing assistants,"1,369",68,222,270,279,239,208,83,39.7
Orderlies and psychiatric aides,66,3,10,21,10,5,13,4,37.1
Occupational therapy assistants and aides,24,1,2,7,9,3,1,1,–
Physical therapist assistants and aides,99,3,22,35,15,10,13,1,31.6
Massage therapists,171,0,6,31,38,49,36,12,46.5
Dental assistants,293,11,65,91,58,38,25,6,32.6
Medical assistants,630,5,95,207,150,104,59,11,35.4
Medical transcriptionists,45,0,17,15,5,2,4,2,–
Pharmacy aides,36,1,8,16,3,7,1,0,–
Veterinary assistants and laboratory animal caretakers,62,3,22,21,4,6,4,1,28.8
Phlebotomists,110,3,22,23,22,21,15,4,37.0
Other healthcare support workers,227,9,30,47,47,44,39,12,40.1
Protective service occupations,"3,110",154,267,811,695,603,382,199,40.5
First-line supervisors of correctional officers,43,0,0,8,7,18,10,1,–
First-line supervisors of police and detectives,108,0,0,8,33,40,21,6,46.7
First-line supervisors of firefighting and prevention workers,52,0,0,2,12,31,6,2,51.6
First-line supervisors of security workers,70,0,0,15,17,19,11,7,44.6
"First-line supervisors of protective service workers, all other",2,0,0,0,0,0,2,0,–
Firefighters,298,6,28,104,80,65,10,5,37.4
Fire inspectors,21,2,4,5,5,2,2,1,–
Bailiffs,21,0,0,6,5,2,3,3,–
Correctional officers and jailers,319,9,29,105,73,62,29,12,39.5
Detectives and criminal investigators,151,0,1,32,55,42,15,5,43.0
Fish and game wardens,8,0,0,0,2,1,4,1,–
Parking enforcement workers,5,0,1,1,2,0,1,0,–
Police officers,678,1,41,216,190,132,73,26,40.6
Animal control workers,2,0,0,0,0,0,0,1,–
Private detectives and investigators,126,1,5,26,29,35,21,8,45.6
Security guards and gambling surveillance officers,894,18,114,243,159,123,148,90,41.3
Crossing guards and flaggers,56,2,4,7,8,7,10,19,53.7
Transportation security screeners,40,1,1,9,9,12,3,5,–
School bus monitors,30,2,2,7,5,0,9,5,–
Other protective service workers,185,112,36,16,5,11,3,3,21.2
Food preparation and serving related occupations,"8,061","1,499","1,712","1,680","1,233",912,717,308,29.8
Chefs and head cooks,515,9,47,139,132,108,63,18,40.4
First-line supervisors of food preparation and serving workers,486,25,89,119,99,75,61,17,36.1
Cooks,"2,005",279,313,401,373,326,217,97,35.6
Food preparation workers,895,186,147,141,124,117,127,53,32.0
Bartenders,450,9,83,169,102,47,24,15,32.5
Fast food and counter workers,831,281,292,142,56,25,25,10,22.2
Waiters and waitresses,"1,786",360,517,410,213,134,106,46,25.9
"Food servers, nonrestaurant",221,43,52,45,29,14,26,12,28.5
Dining room and cafeteria attendants and bartender helpers,274,77,46,42,40,29,29,12,29.0
Dishwashers,277,53,47,47,49,33,30,18,32.9
"Hosts and hostesses, restaurant, lounge, and coffee shop",310,175,79,25,14,3,6,9,21.0
"Food preparation and serving related workers, all other",10,2,1,1,2,2,3,1,–
Building and grounds cleaning and maintenance occupations,"5,770",227,472,997,"1,228","1,155","1,159",533,44.8
First-line supervisors of housekeeping and janitorial workers,366,4,14,49,98,87,78,36,47.1
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",284,3,14,43,75,77,50,21,45.8
Janitors and building cleaners,"2,304",103,192,369,416,465,509,250,46.8
Maids and housekeeping cleaners,"1,413",35,91,236,331,288,312,120,45.3
Pest control workers,100,2,14,31,25,14,11,3,37.5
Landscaping and groundskeeping workers,"1,193",74,132,241,256,208,182,101,40.9
Tree trimmers and pruners,89,5,11,23,19,12,17,2,39.9
Other grounds maintenance workers,22,0,4,6,6,4,0,0,–
Personal care and service occupations,"4,055",287,563,895,795,689,516,310,38.8
Supervisors of personal care and service workers,242,0,11,62,51,66,34,18,44.9
Animal trainers,63,1,10,26,11,5,5,5,36.7
Animal caretakers,334,33,75,94,55,38,20,19,30.6
Gambling services workers,93,1,3,19,32,18,14,7,42.7
"Ushers, lobby attendants, and ticket takers",40,6,10,5,2,7,6,4,–
Other entertainment attendants and related workers,201,59,42,35,16,9,18,22,25.1
"Embalmers, crematory operators, and funeral attendants",19,1,3,1,2,5,2,7,–
"Morticians, undertakers, and funeral arrangers",33,0,6,4,7,6,8,2,–
Barbers,144,5,12,47,30,29,11,10,38.8
"Hairdressers, hairstylists, and cosmetologists",726,10,65,153,187,154,107,49,42.2
Manicurists and pedicurists,309,2,20,59,84,89,45,11,43.2
Skincare specialists,103,2,14,35,21,20,7,4,36.1
Other personal appearance workers,35,3,3,16,5,4,3,1,–
"Baggage porters, bellhops, and concierges",81,4,14,9,20,13,11,10,40.1
Tour and travel guides,57,7,7,10,7,5,9,11,40.2
Childcare workers,984,101,168,190,157,148,139,81,37.1
Exercise trainers and group fitness instructors,242,6,22,65,64,31,32,23,40.1
Recreation workers,156,35,51,14,14,18,19,5,24.8
Residential advisors,47,3,15,9,7,3,8,1,–
"Personal care and service workers, all other",146,10,12,40,25,21,18,20,40.4
,,,,,,,,,
Sales and office occupations,"29,885","1,582","3,181","6,294","5,926","5,390","5,055","2,457",41.9
Sales and related occupations,"14,090","1,096","1,590","2,823","2,727","2,490","2,132","1,231",41.0
First-line supervisors of retail sales workers,"3,001",37,199,630,747,668,487,233,43.7
First-line supervisors of non-retail sales workers,"1,141",5,38,212,283,278,232,93,46.5
Cashiers,"2,569",713,570,401,277,236,206,167,25.8
Counter and rental clerks,62,6,10,14,10,7,10,6,38.0
Parts salespersons,123,6,16,18,30,22,17,14,42.6
Retail salespersons,"2,734",273,466,592,405,372,355,272,36.8
Advertising sales agents,124,0,6,42,26,27,17,6,41.3
Insurance sales agents,589,4,35,129,138,126,98,59,44.4
"Securities, commodities, and financial services sales agents",242,2,13,57,55,62,35,18,44.0
Travel agents,87,0,1,13,21,21,27,4,48.8
"Sales representatives of services, except advertising, insurance, financial services, and travel",701,6,55,201,174,118,98,49,41.0
"Sales representatives, wholesale and manufacturing","1,116",8,52,246,235,240,237,98,46.2
"Models, demonstrators, and product promoters",52,3,15,9,6,4,3,11,31.8
Real estate brokers and sales agents,"1,016",5,31,144,231,222,228,155,49.6
Sales engineers,47,0,1,13,10,11,10,3,–
Telemarketers,22,2,8,3,4,2,1,1,–
"Door-to-door sales workers, news and street vendors, and related workers",62,2,2,16,13,12,12,6,46.4
"Sales and related workers, all other",402,24,73,85,61,63,60,35,38.5
Office and administrative support occupations,"15,795",486,"1,591","3,471","3,199","2,900","2,923","1,226",42.6
First-line supervisors of office and administrative support workers,"1,186",4,44,239,292,277,245,84,45.8
"Switchboard operators, including answering service",12,1,2,2,4,0,2,2,–
Telephone operators,16,0,0,6,2,2,3,3,–
"Communications equipment operators, all other",7,0,1,1,2,0,2,2,–
Bill and account collectors,113,0,1,30,29,24,21,9,43.9
Billing and posting clerks,392,3,26,89,88,85,76,24,43.7
"Bookkeeping, accounting, and auditing clerks","1,197",11,72,165,229,252,306,162,50.1
Gambling cage workers,20,1,3,1,1,5,4,4,–
Payroll and timekeeping clerks,130,1,4,28,25,27,32,14,47.9
Procurement clerks,48,0,1,15,9,11,8,4,–
Tellers,231,7,62,69,28,22,26,17,30.9
"Financial clerks, all other",148,0,13,42,31,33,25,3,42.0
Brokerage clerks,8,0,1,2,3,0,1,0,–
Correspondence clerks,7,0,1,3,3,0,0,1,–
"Court, municipal, and license clerks",74,0,6,17,15,17,15,4,45.3
"Credit authorizers, checkers, and clerks",28,0,5,4,4,9,4,2,–
Customer service representatives,"2,632",236,385,596,511,380,349,174,37.2
"Eligibility interviewers, government programs",76,1,4,6,30,16,16,3,44.7
File Clerks,125,3,7,36,30,20,19,10,40.3
"Hotel, motel, and resort desk clerks",85,4,22,17,14,11,11,6,35.0
"Interviewers, except eligibility and loan",188,2,20,56,32,28,35,15,40.8
"Library assistants, clerical",66,3,18,12,10,6,10,7,35.9
Loan interviewers and clerks,102,0,6,29,32,16,16,3,40.3
New accounts clerks,15,0,0,7,2,2,2,1,–
Order clerks,94,2,19,20,14,13,20,7,39.5
"Human resources assistants, except payroll and timekeeping",93,0,6,17,32,14,15,9,42.5
Receptionists and information clerks,"1,201",57,259,277,195,176,158,81,35.9
Reservation and transportation ticket agents and travel clerks,117,1,10,30,22,21,25,6,41.0
"Information and record clerks, all other",112,3,12,14,26,18,21,18,45.9
Cargo and freight agents,13,0,1,4,5,2,1,1,–
Couriers and messengers,889,30,93,235,200,140,139,52,40.6
Public safety telecommunicators,80,2,8,24,9,25,10,1,37.8
"Dispatchers, except police, fire, and ambulance",172,1,10,49,44,35,25,6,41.1
"Meter readers, utilities",15,0,1,6,2,2,1,3,–
Postal service clerks,92,0,3,28,17,15,22,7,44.1
Postal service mail carriers,309,2,14,55,70,74,83,12,46.4
"Postal service mail sorters, processors, and processing machine operators",44,0,3,13,9,6,7,5,–
"Production, planning, and expediting clerks",223,2,13,56,58,37,43,14,43.1
"Shipping, receiving, and inventory clerks",613,8,58,156,116,137,106,31,42.5
"Weighers, measurers, checkers, and samplers, recordkeeping",69,5,6,15,15,14,10,4,40.1
Executive secretaries and executive administrative assistants,234,0,5,50,40,51,68,19,49.1
Legal secretaries and administrative assistants,43,0,1,8,3,3,16,12,–
Medical secretaries and administrative assistants,85,0,8,17,19,16,22,4,45.9
"Secretaries and administrative assistants, except legal, medical, and executive","1,758",15,92,317,331,358,469,177,48.2
Data entry keyers,226,5,17,62,54,44,29,14,40.8
Word processors and typists,43,1,7,5,9,2,14,6,–
Desktop publishers,1,0,0,0,0,1,0,0,–
Insurance claims and policy processing clerks,299,3,11,97,68,60,47,13,41.7
"Mail clerks and mail machine operators, except postal service",45,1,9,8,10,10,3,4,–
"Office clerks, general","1,253",63,154,243,225,239,224,105,42.4
"Office machine operators, except computer",24,0,7,6,4,2,2,2,–
Proofreaders and copy markers,14,0,1,2,2,2,3,4,–
Statistical assistants,13,0,5,3,0,0,4,1,–
"Office and administrative support workers, all other",718,6,53,184,172,138,109,56,41.9
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","14,391",440,"1,412","3,308","3,359","2,855","2,309",709,41.3
"Farming, fishing, and forestry occupations",970,83,102,194,204,177,136,76,40.2
"First-line supervisors of farming, fishing, and forestry workers",54,1,3,9,10,15,11,5,49.8
Agricultural inspectors,15,0,0,3,3,3,4,2,–
Animal breeders,8,0,0,3,2,3,0,0,–
"Graders and sorters, agricultural products",50,3,1,12,12,12,9,2,43.5
Miscellaneous agricultural workers,757,77,88,152,163,127,94,55,38.8
Fishing and hunting workers,27,1,2,6,7,3,4,4,–
Forest and conservation workers,11,0,3,2,2,1,1,2,–
Logging workers,48,1,5,6,5,13,13,5,–
Construction and extraction occupations,"8,520",227,840,"1,975","2,075","1,730","1,301",371,41.1
First-line supervisors of construction trades and extraction workers,792,3,26,153,195,214,160,41,45.3
Boilermakers,15,0,1,1,5,5,2,2,–
"Brickmasons, blockmasons, and stonemasons",128,4,13,27,35,27,14,7,40.3
Carpenters,"1,279",32,103,276,333,284,207,44,41.8
"Carpet, floor, and tile installers and finishers",128,1,12,31,32,29,19,5,41.1
"Cement masons, concrete finishers, and terrazzo workers",51,1,4,12,13,12,9,0,41.8
Construction laborers,"2,293",104,247,533,560,452,296,101,40.1
Construction equipment operators,396,4,34,81,92,83,84,19,43.3
"Drywall installers, ceiling tile installers, and tapers",140,4,13,37,36,29,17,4,40.2
Electricians,992,21,132,258,223,176,136,47,39.6
Glaziers,30,1,3,5,6,6,8,2,–
Insulation workers,40,0,6,15,10,7,1,1,–
Painters and paperhangers,539,10,62,125,121,104,89,29,41.1
Pipelayers,47,1,8,11,16,6,4,2,–
"Plumbers, pipefitters, and steamfitters",636,17,67,158,154,111,101,29,40.1
