task,occupation,paper_count,paper_ids
"Administer internet or intranet infrastructure, including Web, file, and mail servers.",Web Administrators,94,"2303.17491,2304.08103,2306.03460,2306.07906,2307.12856,2308.05481,2308.11601,2308.12086,2309.08172,2309.11436,2309.12276,2310.16340,2310.16427,2311.09818,2311.18751,2312.06677,2401.01614,2401.13919,2402.04253,2402.05930,2402.15057,2402.17505,2402.17531,2403.03031,2403.04123,2403.11905,2404.01744,2404.02183,2404.03648,2404.05902,2404.10887,2405.00516,2405.16533,2405.17441,2405.20309,2406.01014,2406.10803,2406.10958,2406.12276,2406.13381,2406.16714,2406.19228,2407.01476,2407.10718,2407.14402,2407.15711,2407.16741,2407.20183,2407.21024,2408.00203,2408.14033,2409.00557,2409.00608,2409.03512,2409.07429,2410.02958,2410.08164,2410.11507,2410.13232,2410.13825,2410.17236,2410.18963,2410.22457,2411.01643,2411.02337,2411.02937,2411.11581,2411.13451,2411.15004,2412.04141,2412.09605,2412.10742,2412.14161,2412.21139,2501.04575,2501.05255,2501.07572,2501.11107,2502.04306,2502.12561,2502.13681,2502.15690,2503.04787,2503.05592,2503.10689,2503.22473,2504.02051,2504.03160,2504.09407,2504.09723,2504.10127,2504.10458,2504.11788,2504.12682"
Administer online purchasing systems.,Purchasing Managers,13,"2401.01614,2402.01737,2402.14871,2402.15813,2403.14443,2404.13050,2405.20347,2407.11384,2412.02205,2412.14161,2412.15701,2412.18690,2502.04485"
"Administer systems and programs to reduce loss, maintain inventory control, or increase safety.",Loss Prevention Managers,6,"2402.01053,2407.11384,2410.07677,2412.13471,2412.14161,2501.06193"
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",Credit Counselors,27,"2308.05361,2310.03293,2310.05421,2312.12009,2401.05799,2402.01737,2402.01750,2402.03719,2402.12556,2402.15057,2404.01343,2406.11978,2407.06567,2408.15879,2410.21741,2410.21784,2411.00927,2412.14161,2412.18690,2501.15056,2502.02807,2502.13127,2502.18228,2502.18471,2503.14484,2503.21080,2504.05862"
Advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment.,Environmental Engineers,44,"2304.00116,2308.12519,2308.12923,2311.08166,2311.08803,2401.05507,2402.01698,2402.11451,2403.13002,2403.19839,2405.14205,2405.16247,2405.16510,2406.10958,2406.17987,2408.12036,2408.15512,2409.00135,2409.05556,2409.14913,2410.10270,2410.14152,2411.01114,2411.01511,2411.11910,2412.21154,2501.00224,2501.01205,2501.02031,2501.02348,2502.07373,2502.09858,2502.11271,2502.13957,2502.18873,2503.00566,2503.17753,2503.22708,2504.05104,2504.05527,2504.06260,2504.08066,2504.09602,2504.17200"
"Advise customers concerning equipment operation, maintenance, or programming.","Computer, Automated Teller, and Office Machine Repairers",21,"2303.17491,2306.03460,2307.07924,2307.12856,2309.11436,2309.12276,2310.08740,2312.06677,2312.17025,2401.16158,2404.07439,2409.00608,2410.08164,2410.13757,2410.18963,2410.22916,2501.04575,2503.18492,2504.10127,2504.10458,2504.14239"
"Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",Customs Brokers,6,"2306.16092,2402.01737,2404.01343,2409.14913,2412.02205,2412.18690"
"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",Compliance Officers,27,"2304.00116,2310.10467,2311.08803,2402.01053,2402.02643,2402.03719,2402.04411,2402.12914,2403.12482,2405.17402,2406.17987,2408.01380,2408.09785,2409.19006,2410.07677,2410.08164,2410.12848,2410.14262,2410.19727,2410.21784,2412.00652,2412.11063,2412.13471,2412.14161,2501.15056,2502.06882,2504.05104"
"Advise management regarding customer satisfaction, product performance, or suggestions for product improvements.","Electrical and Electronics Repairers, Commercial and Industrial Equipment",4,"2402.01053,2404.01343,2409.14913,2411.16707"
"Advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.","Dispatchers, Except Police, Fire, and Ambulance",24,"2307.07162,2310.01957,2312.06351,2312.13545,2402.05733,2405.18208,2405.20347,2406.10958,2407.11384,2408.00948,2409.08069,2409.09040,2409.09717,2410.16456,2410.21784,2411.01511,2411.07464,2411.10869,2412.16176,2501.06193,2503.04768,2503.11739,2504.08694,2504.17200"
Advise retail establishments on development of loss-investigation procedures.,Loss Prevention Managers,2,"2402.01737,2412.13471"
"Advise retail managers on compliance with applicable codes, laws, regulations, or standards.",Loss Prevention Managers,3,"2402.04411,2410.07677,2410.19727"
Advise students on academic and vocational curricula and career issues.,"Business Teachers, Postsecondary",49,"2306.09299,2308.05935,2309.08112,2309.12309,2310.00280,2310.01420,2310.02170,2310.05029,2310.10467,2310.17749,2402.01737,2402.01750,2402.09216,2402.12556,2402.15813,2404.06762,2404.07963,2405.13034,2405.19425,2406.04151,2406.11176,2406.11317,2406.12639,2406.19226,2407.10718,2407.21170,2408.15232,2409.00557,2409.03512,2409.07372,2409.14913,2409.16686,2411.00927,2411.07407,2412.14161,2412.15701,2412.16943,2412.18690,2501.02348,2501.11613,2502.04485,2502.07165,2502.13127,2502.14767,2503.00162,2503.11664,2503.14484,2504.14597,2504.14928"
Advise students on academic and vocational curricula and on career issues.,"Physics Teachers, Postsecondary",68,"2308.05935,2309.08112,2310.02804,2310.19998,2311.08166,2311.08803,2312.07559,2312.17180,2401.04259,2402.01788,2402.03610,2402.09216,2402.10178,2402.11451,2402.11534,2402.12914,2403.04382,2404.07738,2404.07963,2404.17460,2405.08888,2405.17402,2406.03486,2406.19226,2407.12861,2407.21170,2408.01380,2408.05346,2408.06292,2408.06520,2409.03512,2409.05556,2409.07372,2409.13740,2410.08475,2410.09403,2410.13185,2410.14627,2410.20007,2411.00816,2411.07407,2411.11910,2412.14161,2412.21154,2501.00224,2501.00430,2501.04227,2502.00988,2502.00989,2502.11271,2502.13025,2502.13311,2502.14767,2502.19400,2502.20541,2503.08506,2503.18102,2503.22708,2503.23314,2504.00824,2504.01911,2504.07643,2504.08066,2504.09781,2504.10458,2504.12322,2504.16728,2504.17200"
"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",Editors,72,"2306.03460,2310.05029,2310.08101,2310.13549,2311.05437,2312.04889,2401.04259,2402.03719,2402.10294,2402.11770,2402.14207,2402.14871,2402.14891,2403.02574,2403.15434,2404.13050,2405.01593,2405.11804,2405.20252,2406.02795,2406.02818,2406.10478,2406.12197,2406.14550,2406.19643,2407.01093,2407.09897,2407.12861,2408.05346,2408.15836,2409.00054,2409.00557,2409.07497,2409.12411,2409.13740,2410.02603,2410.07561,2410.13185,2410.14262,2410.21067,2410.22932,2411.00816,2412.03801,2412.09796,2412.10415,2412.14161,2412.15701,2501.01702,2501.05468,2501.06189,2501.09993,2501.11233,2502.00988,2502.06472,2502.07165,2502.12568,2502.15412,2502.16810,2502.17651,2503.04629,2503.05242,2503.08275,2503.08506,2503.11346,2503.15272,2503.17684,2504.00824,2504.02965,2504.08066,2504.09737,2504.11571,2504.12322"
Alter or modify designs to obtain specified functional or operational performance.,Automotive Engineers,63,"2303.00855,2305.02412,2305.16653,2305.17390,2305.18323,2307.07162,2308.01423,2309.16292,2310.01957,2310.02118,2310.03026,2310.09536,2310.10645,2310.19998,2311.08166,2311.09510,2311.10813,2312.04372,2312.06351,2402.05188,2402.11451,2402.11489,2402.17574,2403.13002,2404.05569,2404.06413,2404.17525,2405.08888,2405.14205,2405.16247,2406.03008,2406.09988,2406.13163,2408.08054,2408.09785,2408.14307,2408.15512,2409.00135,2409.18345,2410.15281,2410.16919,2410.19811,2410.21909,2411.01114,2411.02599,2411.19539,2412.05449,2412.21154,2501.00224,2501.00430,2501.01205,2501.02342,2501.04227,2502.10857,2502.11271,2503.08162,2503.09572,2503.21735,2504.05527,2504.06260,2504.08066,2504.09602,2504.11243"
"Analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data.",Surveying and Mapping Technicians,23,"2303.11381,2304.00116,2306.08129,2310.02118,2310.02804,2312.01090,2312.06351,2402.01698,2402.07204,2405.16533,2407.11014,2407.21024,2408.03631,2408.08054,2408.11051,2408.15512,2410.18792,2411.01511,2411.10753,2412.17339,2501.00224,2504.11243,2504.17200"
"Analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",Climate Change Policy Analysts,66,"2304.00116,2304.09842,2307.07697,2310.00280,2310.10467,2310.13549,2311.08803,2312.07559,2312.13876,2401.17464,2402.01698,2402.07401,2402.11451,2402.11534,2403.02574,2403.04382,2403.09498,2403.19839,2404.07738,2406.02818,2406.17987,2407.10718,2407.11014,2407.15073,2407.20183,2408.05346,2408.12036,2409.00054,2409.05556,2409.12411,2409.13740,2409.14913,2409.19006,2410.08475,2410.09403,2410.10270,2410.13185,2410.14152,2411.01511,2411.06159,2411.11910,2412.07144,2412.10415,2412.14161,2412.15701,2501.00224,2501.02031,2501.02348,2501.04227,2502.00322,2502.00989,2502.04644,2502.10937,2502.11271,2502.13025,2502.18873,2503.00566,2503.09572,2503.15521,2503.18102,2504.05104,2504.07421,2504.09781,2504.10036,2504.14822,2504.17200"
Analyze and interpret data to increase the understanding of human social behavior.,Sociologists,129,"2304.00416,2304.04370,2304.05332,2306.07209,2307.07697,2309.12309,2310.02124,2310.14985,2311.03220,2311.06330,2311.09618,2311.17227,2312.04889,2312.07559,2312.12009,2312.13876,2401.02870,2401.17464,2402.01698,2402.01750,2402.01788,2402.04559,2402.10178,2402.11712,2402.12212,2402.12556,2402.12914,2402.13184,2402.14744,2402.16333,2403.04382,2403.09498,2403.10779,2403.13433,2404.06762,2404.07738,2404.13050,2405.00273,2405.01593,2405.02858,2405.06691,2405.16376,2406.02795,2406.03008,2406.10958,2406.12708,2406.14373,2406.14928,2406.17987,2406.18702,2406.19966,2407.01231,2407.01824,2407.10718,2407.11549,2407.12871,2407.15073,2408.01633,2408.05346,2408.12036,2408.15232,2408.15512,2408.16081,2409.00054,2409.05556,2409.13740,2409.14913,2409.18335,2409.19338,2410.01555,2410.09403,2410.09824,2410.10270,2410.13185,2410.14041,2410.14152,2410.16322,2410.20746,2410.24032,2411.00028,2411.06159,2411.07656,2411.10681,2411.11581,2411.11910,2412.04859,2412.06724,2412.07144,2412.11167,2412.14769,2412.15701,2501.02348,2501.04227,2501.05468,2501.08406,2502.00988,2502.01390,2502.02807,2502.06472,2502.09369,2502.10937,2502.11799,2502.14767,2502.18673,2502.18873,2502.19279,2502.20140,2503.07237,2503.09639,2503.11664,2503.13524,2503.14484,2503.14620,2503.15521,2503.15552,2503.18102,2503.20666,2503.21080,2503.24228,2504.03991,2504.07421,2504.07643,2504.07830,2504.09689,2504.10157,2504.14538,2504.14822,2504.16728,2504.17200"
"Analyze and interpret geological data, using computer software.","Geoscientists, Except Hydrologists and Geographers",46,"2303.11381,2304.00116,2304.04370,2306.07209,2310.02804,2310.19998,2312.13876,2401.05507,2401.17244,2402.11451,2402.11453,2402.17879,2403.13002,2406.17987,2407.11014,2407.21024,2407.21040,2408.05346,2408.12036,2408.15512,2409.05556,2410.08475,2410.10270,2410.17462,2410.18792,2411.01511,2411.10753,2411.11910,2411.18915,2412.17339,2412.20145,2501.00224,2501.02031,2502.00988,2502.00989,2502.05036,2502.11799,2503.00566,2503.07044,2503.11664,2503.18102,2504.05104,2504.07643,2504.08066,2504.10036,2504.17200"
"Analyze and interpret geological, geochemical, or geophysical information from sources, such as survey data, well logs, bore holes, or aerial photos.","Geoscientists, Except Hydrologists and Geographers",39,"2304.00116,2306.07209,2306.08129,2310.02804,2310.10645,2312.13876,2401.05507,2401.08392,2402.11451,2403.15729,2406.10918,2407.01231,2407.11014,2407.21024,2408.06292,2408.15512,2409.00135,2410.09034,2410.10270,2410.17462,2410.18792,2411.01114,2411.01511,2411.11910,2412.17339,2412.21154,2501.00224,2501.00430,2501.02031,2501.04227,2502.00988,2502.11271,2502.13025,2503.00566,2504.07643,2504.08066,2504.14597,2504.16728,2504.17200"
Analyze and interpret news and information received from various sources to broadcast the information.,"News Analysts, Reporters, and Journalists",96,"2304.00116,2306.07906,2307.07697,2310.02804,2310.05029,2310.10467,2310.10586,2310.13549,2312.04889,2312.13876,2401.04259,2401.17464,2402.01750,2402.03610,2402.03719,2402.06634,2402.07401,2402.09727,2402.13547,2402.14207,2402.16333,2402.17505,2403.02574,2403.09498,2403.11886,2403.14403,2403.17359,2404.03648,2404.07103,2404.09077,2404.19705,2405.01593,2405.13021,2405.15784,2405.17402,2406.02795,2406.02818,2406.12197,2406.14550,2406.17987,2407.01231,2407.09886,2407.09893,2407.10718,2407.15711,2407.20183,2408.05346,2408.12036,2409.01854,2409.12411,2409.14913,2409.17213,2410.00354,2410.01039,2410.07561,2410.11507,2410.14262,2411.00784,2411.05762,2411.06159,2411.19443,2412.02205,2412.04859,2412.10510,2412.11167,2412.14161,2412.18428,2412.20005,2501.00332,2501.00888,2501.02348,2501.05475,2501.06189,2501.07572,2502.00322,2502.07165,2502.11271,2502.11799,2502.12568,2502.12767,2502.13957,2502.14767,2502.15690,2502.18873,2503.08275,2503.10689,2503.11664,2503.13524,2503.16814,2503.17684,2504.00824,2504.03160,2504.07385,2504.09781,2504.12330,2504.13079"
"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",Health Informatics Specialists,380,"2302.04761,2303.11381,2303.17071,2304.00116,2304.04370,2304.09842,2304.09991,2305.17390,2305.18323,2306.07209,2306.07929,2306.10765,2307.06187,2307.07697,2308.01423,2308.08043,2308.10144,2308.11601,2308.11730,2309.11436,2309.12161,2310.02170,2310.02374,2310.03714,2310.04406,2310.05029,2310.05915,2310.10686,2310.13549,2310.14403,2310.16340,2310.16427,2310.17140,2310.18075,2310.19998,2311.05437,2311.05657,2311.06330,2311.06622,2311.07076,2311.08803,2311.09721,2311.09818,2311.10537,2312.00326,2312.03022,2312.04854,2312.04889,2312.06677,2312.07559,2312.11282,2312.12009,2312.13876,2401.04259,2401.05507,2401.07128,2401.08392,2401.12178,2401.13256,2401.14589,2401.16107,2401.17244,2401.17464,2402.01030,2402.01469,2402.01788,2402.02643,2402.03719,2402.05547,2402.09727,2402.09742,2402.10153,2402.11451,2402.11453,2402.11489,2402.11534,2402.12234,2402.12275,2402.12914,2402.13225,2402.13448,2402.13547,2402.14672,2402.14851,2402.14891,2402.17879,2403.03031,2403.03101,2403.04123,2403.04382,2403.06221,2403.09498,2403.10779,2403.13313,2403.14403,2403.14443,2403.15464,2403.15729,2403.16854,2403.17359,2404.01744,2404.02183,2404.04292,2404.06762,2404.07103,2404.07677,2404.07738,2404.09077,2404.09248,2404.13050,2404.14394,2404.14777,2404.15155,2404.15488,2404.15923,2404.18021,2405.04118,2405.04219,2405.10292,2405.11640,2405.12035,2405.12147,2405.14205,2405.15784,2405.16533,2405.18358,2405.19425,2406.00922,2406.02818,2406.04712,2406.06799,2406.07080,2406.10803,2406.10958,2406.11555,2406.11709,2406.11776,2406.12276,2406.13408,2406.13890,2406.14550,2406.15363,2406.16714,2406.17231,2406.17755,2406.17987,2406.19228,2407.00541,2407.02483,2407.02736,2407.08095,2407.09893,2407.10718,2407.11417,2407.12871,2407.15073,2407.15711,2407.16741,2407.17695,2407.20183,2407.21040,2407.21051,2408.00727,2408.01380,2408.01869,2408.03615,2408.03910,2408.05346,2408.06292,2408.06458,2408.06520,2408.07531,2408.08688,2408.09559,2408.12036,2408.12142,2408.13378,2408.14033,2408.15512,2408.15836,2408.16081,2409.00054,2409.00557,2409.00608,2409.03440,2409.05556,2409.07429,2409.07497,2409.12411,2409.13449,2409.13740,2409.15084,2409.16120,2409.18924,2410.02026,2410.02551,2410.02810,2410.02958,2410.03439,2410.03770,2410.04112,2410.06153,2410.07677,2410.07706,2410.08115,2410.08164,2410.09034,2410.09403,2410.09407,2410.10270,2410.11507,2410.12532,2410.12848,2410.12868,2410.13181,2410.13185,2410.13610,2410.14041,2410.14152,2410.14262,2410.14594,2410.14627,2410.16322,2410.17462,2410.17657,2410.18032,2410.19727,2410.20007,2410.20753,2410.21784,2410.22457,2410.22584,2410.22932,2410.24032,2411.00028,2411.00046,2411.00248,2411.00784,2411.00816,2411.01511,2411.01643,2411.01747,2411.02337,2411.03395,2411.04535,2411.06159,2411.07464,2411.08432,2411.10681,2411.11910,2411.13902,2411.14461,2411.15004,2411.18915,2412.01605,2412.02205,2412.04141,2412.05449,2412.06724,2412.06828,2412.09429,2412.10415,2412.10434,2412.11713,2412.11716,2412.12166,2412.12358,2412.12475,2412.14161,2412.14769,2412.15242,2412.15701,2412.16172,2412.17149,2412.17867,2412.18428,2412.20005,2412.20145,2412.21154,2501.00224,2501.00332,2501.00430,2501.01205,2501.02348,2501.04227,2501.04575,2501.05464,2501.05468,2501.06193,2501.08406,2501.09426,2501.12051,2501.12539,2501.14731,2501.16607,2502.00988,2502.01390,2502.02067,2502.02534,2502.02807,2502.03283,2502.04306,2502.04392,2502.04485,2502.04644,2502.05036,2502.06205,2502.07373,2502.09858,2502.10996,2502.11271,2502.11705,2502.11799,2502.11882,2502.12836,2502.12929,2502.13025,2502.13681,2502.13920,2502.13957,2502.14276,2502.14499,2502.14693,2502.14765,2502.14767,2502.15920,2502.17651,2502.18531,2502.18873,2502.19175,2502.19279,2502.20301,2502.20335,2502.20541,2502.20689,2503.00566,2503.02197,2503.02519,2503.02682,2503.04875,2503.05347,2503.05641,2503.05793,2503.06074,2503.07044,2503.09572,2503.09639,2503.11664,2503.13205,2503.13514,2503.13524,2503.16463,2503.17553,2503.18102,2503.18494,2503.20666,2503.22473,2503.22678,2503.22708,2503.23314,2504.02891,2504.02965,2504.06196,2504.06271,2504.07385,2504.07421,2504.07643,2504.08066,2504.09689,2504.09781,2504.10036,2504.10055,2504.10127,2504.12330,2504.12734,2504.13472,2504.14594,2504.14597,2504.14822,2504.16728"
