Task,Occupation (O*NET-SOC Title),automation_desire,automation_capacity
Administer online purchasing systems.,Purchasing Managers,2.5,5.0
Write photograph captions.,Photographers,3.125,5.0
"Return dictated reports in printed or electronic form for physician's review, signature, and corrections and for inclusion in patients' medical records.",Medical Transcriptionists,3.0,5.0
"Respond to user email inquiries, or set up automated systems to send responses.",Web Developers,3.3,5.0
"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",Computer User Support Specialists,4.5,4.666666666666667
Write supporting code for Web applications or Web sites.,Web Developers,2.9,4.666666666666667
"Perform Web site tests according to planned schedules, or after any Web site or product revision.",Web Developers,3.3,4.666666666666667
"Compute, withhold, and account for all payroll deductions.",Treasurers and Controllers,3.0,4.666666666666667
"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",Customer Service Representatives,2.7,4.666666666666667
Configure security settings or access permissions for groups or individuals.,Computer Network Support Specialists,2.3333333333333335,4.666666666666667
"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Computer Programmers,3.625,4.666666666666667
Schedule appointments with clients.,Tax Preparers,5.0,4.666666666666667
"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",Web Administrators,3.6,4.666666666666667
Enter commands and observe system functioning to verify correct operations and detect errors.,Computer User Support Specialists,2.2857142857142856,4.666666666666667
Back up files from Web sites to local directories for instant recovery in case of problems.,Web Developers,4.2,4.666666666666667
"Record employee information, such as exemptions, transfers, and resignations, to maintain and update payroll records.",Payroll and Timekeeping Clerks,4.0,4.666666666666667
"Perform routine network startup and shutdown procedures, and maintain control records.",Network and Computer Systems Administrators,4.166666666666667,4.666666666666667
Prepare meeting agendas or packets of related information.,"Court, Municipal, and License Clerks",2.0,4.666666666666667
"Analyze network data to determine network usage, disk space availability, or server function.",Computer Network Support Specialists,3.3333333333333335,4.666666666666667
"Compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping Web sites.",Online Merchants,3.6,4.666666666666667
"Respond to customer complaints, taking action as necessary.",Librarians and Media Collections Specialists,3.75,4.5
Review all securities transactions to ensure accuracy of information and conformance to governing agency regulations.,"Securities, Commodities, and Financial Services Sales Agents",2.5,4.5
"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",Web Administrators,4.0,4.5
Set up or maintain monitoring tools on Web servers or Web sites.,Web Administrators,4.0,4.5
"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",Information Technology Project Managers,3.0,4.5
"Generate financial ratios, using computer programs, to evaluate customers' financial status.",Credit Analysts,3.4,4.5
"Estimate or measure light levels, distances, and numbers of exposures needed, using measuring devices and formulas.",Photographers,2.5555555555555554,4.5
Enter logistics-related data into databases.,Logistics Analysts,2.8,4.5
Present information to customers about the energy efficiency or environmental impact of scientific or technical products.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.1,4.5
Submit applications to credit analysts for verification and recommendation.,Loan Officers,3.5,4.5
"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",Web Administrators,3.75,4.5
"Print or request transportation carrier tickets, using computer printer system or system link to travel carrier.",Travel Agents,4.0,4.5
Document network support activities.,Computer Network Support Specialists,3.5,4.5
"Track, compile, and analyze Web site usage data.",Web Administrators,3.5,4.5
Process and issue employee paychecks and statements of earnings and deductions.,Payroll and Timekeeping Clerks,3.8333333333333335,4.5
"Determine charges for services requested, collect deposits or payments, or arrange for billing.",Customer Service Representatives,3.3,4.5
"Produce drawings, using computer-assisted drafting systems (CAD) or drafting machines, or by hand, using compasses, dividers, protractors, triangles, and other drafting devices.",Architectural and Civil Drafters,2.9,4.5
Record and edit the minutes of meetings and distribute to appropriate officials or staff members.,"Court, Municipal, and License Clerks",2.5,4.5
Instruct parties about timing of court appearances.,"Court, Municipal, and License Clerks",4.333333333333333,4.5
"Use all appropriate adjustments, deductions, and credits to keep clients' taxes to a minimum.",Tax Preparers,3.375,4.5
Create or maintain plans or other documents related to sustainability projects.,Sustainability Specialists,3.1666666666666665,4.5
Vary language and tone of messages based on product and medium.,Writers and Authors,2.6,4.5
"Promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",Online Merchants,3.0,4.5
"Convert various types of files for printing or for the Internet, using computer software.",Desktop Publishers,4.5,4.5
"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",Database Administrators,1.6666666666666667,4.5
Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,Customer Service Representatives,2.8,4.5
Consult tax law handbooks or bulletins to determine procedures for preparation of atypical returns.,Tax Preparers,3.8,4.5
Review accounts for discrepancies and reconcile differences.,Accountants and Auditors,2.125,4.5
"Provide customer with brochures and publications containing travel information, such as local customs, points of interest, or foreign country regulations.",Travel Agents,3.5,4.5
Write and send letters of thanks to donors.,Fundraisers,3.5,4.5
"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",Writers and Authors,2.125,4.5
"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Computer Systems Analysts,2.7,4.5
Update automated test scripts to ensure currency.,Software Quality Assurance Analysts and Testers,3.6666666666666665,4.5
"Review balance sheets, operating income and expense accounts, and loan documentation to confirm institution assets and liabilities.",Financial Examiners,3.125,4.5
Prepare or assist in preparing simple to complex tax returns for individuals or small businesses.,Tax Preparers,3.8,4.5
Prepare and submit sales contracts for orders.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.5555555555555554,4.5
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Advertising and Promotions Managers,3.6666666666666665,4.5
"Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.",Technical Writers,2.3333333333333335,4.5
"Obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information.",Loan Officers,3.7142857142857144,4.5
"Obtain customer information such as name, address, and payment method, and enter orders into computers.",Telemarketers,3.4,4.5
"Review or update Web page content or links in a timely manner, using appropriate tools.",Web Administrators,3.2857142857142856,4.5
"Open, read, route, and distribute incoming mail or other materials and answer routine letters.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.4444444444444446,4.5
"Operate computers programmed with accounting software to record, store, and analyze information.","Bookkeeping, Accounting, and Auditing Clerks",2.7,4.5
Issue and record adjustments to pay related to previous errors or retroactive increases.,Payroll and Timekeeping Clerks,4.6,4.5
"Operate desktop publishing software and equipment to design, lay out, and produce camera-ready copy.",Desktop Publishers,2.6666666666666665,4.5
Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,Network and Computer Systems Administrators,3.5,4.5
Order drugs or devices necessary for study completion.,Clinical Research Coordinators,3.3,4.5
"Review financial records, such as income statements and documentation of expenditures to determine forms needed to prepare tax returns.",Tax Preparers,3.625,4.5
"Review and verify data, such as age, name, address, and principal sum and value of property, on insurance applications and policies.",Insurance Claims and Policy Processing Clerks,3.1818181818181817,4.5
Perform computations and apply methods of numerical analysis to data.,Mathematicians,4.0,4.5
Modify existing databases and database management systems or direct programmers and analysts to make changes.,Database Administrators,2.1666666666666665,4.5
Review reports of securities transactions or price lists to analyze market conditions.,Financial Managers,3.0,4.5
"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",Software Quality Assurance Analysts and Testers,2.3333333333333335,4.5
"Manage client portfolios, keeping client plans up-to-date.",Personal Financial Advisors,2.8,4.5
"Record production data, including volume produced, consumption of raw materials, or quality control measures.","Production, Planning, and Expediting Clerks",3.25,4.5
Maintain records of goods ordered and received.,Purchasing Managers,2.8,4.5
Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,Compliance Officers,4.25,4.5
"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Computer Systems Analysts,3.2222222222222223,4.5
Prepare documents recording the outcomes of court proceedings.,"Court, Municipal, and License Clerks",2.5,4.5
"Maintain library of model documents, templates, or other reusable knowledge assets.",Business Intelligence Analysts,3.6666666666666665,4.5
Maintain databases of logistics information.,Logistics Analysts,2.875,4.5
"Maintain customer records, using automated systems.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.5555555555555554,4.5
"Schedule and confirm appointments for clients, customers, or supervisors.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.4444444444444446,4.5
"Keep track of leave time, such as vacation, personal, and sick leave, for employees.",Payroll and Timekeeping Clerks,3.6,4.5
Schedule and make appointments.,Legal Secretaries and Administrative Assistants,3.6,4.5
Prepare financial reports to monitor client or corporate finances.,"Securities, Commodities, and Financial Services Sales Agents",3.6,4.5
Issue public notification of all official activities or meetings.,"Court, Municipal, and License Clerks",2.5,4.5
"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Clinical Research Coordinators,3.3,4.5
Access computerized financial information to answer general questions as well as those related to specific accounts.,"Bookkeeping, Accounting, and Auditing Clerks",2.625,4.5
"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",Computer Programmers,3.111111111111111,4.5
"Answer customers' questions about products, prices, availability, or credit terms.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.1,4.5
Back up or modify applications and related data to provide for disaster recovery.,Web Administrators,4.2,4.5
Assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,Search Marketing Strategists,3.5,4.5
"Calculate and prepare checks for utilities, taxes, and other payments.","Bookkeeping, Accounting, and Auditing Clerks",4.0,4.5
Calculate form preparation fees according to return complexity and processing time required.,Tax Preparers,3.3333333333333335,4.5
"Compile employee time, production, and payroll data from time sheets and other records.",Payroll and Timekeeping Clerks,3.2,4.5
"Archive documents, conduct research, and read copy, using the internet and various computer programs.",Proofreaders and Copy Markers,2.6,4.5
Check dimensions of materials to be used and assign numbers to lists of materials.,Architectural and Civil Drafters,3.2,4.5
"Approve loans within specified limits, and refer loan applications outside those limits to management for approval.",Loan Officers,2.888888888888889,4.5
Check to ensure that appropriate changes were made to resolve customers' problems.,Customer Service Representatives,2.2,4.5
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",Biofuels Production Managers,3.6666666666666665,4.5
Answer user inquiries regarding computer software or hardware operation to resolve problems.,Computer User Support Specialists,2.8,4.5
Adjust sales scripts to better target the needs and interests of specific individuals.,Telemarketers,3.0,4.5
Back up network data.,Computer Network Support Specialists,2.8333333333333335,4.5
Compare disputed merchandise with original requisitions and information from invoices and prepare invoices for returned goods.,Customer Service Representatives,3.2,4.5
"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",Credit Analysts,3.0,4.5
Complete sales order tickets and submit for processing of client-requested transactions.,"Securities, Commodities, and Financial Services Sales Agents",2.2,4.5
Review quality documentation necessary for regulatory submissions and inspections.,Quality Control Systems Managers,3.25,4.333333333333333
Monitor performance of quality control systems to ensure effectiveness and efficiency.,Quality Control Systems Managers,3.125,4.333333333333333
"Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.","News Analysts, Reporters, and Journalists",2.8,4.333333333333333
Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.,Supply Chain Managers,4.0,4.333333333333333
Create or update donor databases.,Fundraisers,3.6666666666666665,4.333333333333333
Establish appropriate server directory trees.,Web Developers,3.3,4.333333333333333
"Prepare applications and forms for applicants for such purposes as school enrollment, employment, and medical services.","Eligibility Interviewers, Government Programs",3.5,4.333333333333333
"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",Accountants and Auditors,2.0,4.333333333333333
Write technical reports for engineering and management personnel.,Petroleum Engineers,3.6,4.333333333333333
Review purchase order claims and contracts for conformance to company policy.,Purchasing Managers,3.7,4.333333333333333
Optimize Web site exposure by analyzing search engine patterns to direct online placement of keywords or other content.,Search Marketing Strategists,3.4285714285714284,4.333333333333333
"Review work done by others to check for correct spelling and grammar, ensure that company format policies are followed, and recommend revisions.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.142857142857143,4.333333333333333
"Calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.","Bookkeeping, Accounting, and Auditing Clerks",3.0,4.333333333333333
Combine secondary data sources with keyword research to more accurately profile and satisfy user intent.,Search Marketing Strategists,3.2857142857142856,4.333333333333333
"Conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance.",Search Marketing Strategists,3.6,4.333333333333333
Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,Technical Writers,2.25,4.333333333333333
"Verify facts, dates, and statistics, using standard reference sources.",Editors,2.4,4.333333333333333
"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods.",Search Marketing Strategists,4.142857142857143,4.333333333333333
"Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.",Sustainability Specialists,3.0,4.333333333333333
Identify appropriate Key Performance Indicators (KPIs) and report key metrics from digital campaigns.,Search Marketing Strategists,3.2,4.333333333333333
Create or maintain database of customer accounts.,Online Merchants,4.5,4.333333333333333
Gather and organize information on problems or procedures.,Management Analysts,3.25,4.333333333333333
Monitor progress of fundraising drives.,Fundraisers,4.0,4.0
"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.7,4.0
"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",Treasurers and Controllers,3.0,4.0
Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.,Supply Chain Managers,2.6666666666666665,4.0
Calculate costs for billings or commissions.,"Securities, Commodities, and Financial Services Sales Agents",3.4285714285714284,4.0
"Obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills.",Customer Service Representatives,3.3,4.0
"Upload digital media, such as photos, video, or scanned images to online storefront, auction sites, or other shopping Web sites.",Online Merchants,2.6,4.0
"Obtain computer printout of policy cancellations, or retrieve cancellation cards from file.",Insurance Claims and Policy Processing Clerks,3.0,4.0
Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.0,4.0
"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",Compliance Officers,3.5,4.0
Study layout or other design instructions to determine work to be done and sequence of operations.,Desktop Publishers,3.4,4.0
"Optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (SEO) or for display and usability on internet-connected devices.",Search Marketing Strategists,3.5,4.0
Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,Search Marketing Strategists,4.0,4.0
"Organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data.",Insurance Claims and Policy Processing Clerks,3.5,4.0
Participate in the development or implementation of online marketing strategy.,Search Marketing Strategists,3.0,4.0
"Compare data with source documents, or re-enter data in verification format to detect errors.",Data Entry Keyers,3.5,4.0
"Study Constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases.",Lawyers,3.1666666666666665,4.0
Monitor bug resolution efforts and track successes.,Software Quality Assurance Analysts and Testers,4.0,4.0
Make travel arrangements for attorneys.,Legal Secretaries and Administrative Assistants,3.9,4.0
"Monitor budgets, expense reports, or other financial data for fundraising organizations.",Fundraisers,3.5714285714285716,4.0
"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Web Developers,3.0,4.0
"Explain products or services and prices, and answer questions from customers.",Telemarketers,2.625,4.0
Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,Statisticians,3.25,4.0
"Transfer photographs to computers for editing, archiving, and electronic transmission.",Photographers,3.7,4.0
"Identify relationships and trends in data, as well as any factors that could affect the results of research.",Statisticians,3.7142857142857144,4.0
"Import text and art elements, such as electronic clip art or electronic files from photographs that have been scanned or produced with a digital camera, using computer software.",Desktop Publishers,2.875,4.0
"Inform other traders, managers, or customers of market conditions, including volume, price, competition, or dynamics.","Securities, Commodities, and Financial Services Sales Agents",3.75,4.0
"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Advertising and Promotions Managers,3.7,4.0
"Interpret test results, compare them to established specifications and control limits, and make recommendations on appropriateness of data for release.",Quality Control Analysts,3.5714285714285716,4.0
Collect historical cost data to estimate costs for current or future products.,Cost Estimators,1.8571428571428572,4.0
Keep accurate records of transactions.,"Securities, Commodities, and Financial Services Sales Agents",3.0,4.0
"Examine, evaluate, or process loan applications.",Financial Managers,2.8,4.0
Keep informed about changes in tax and deduction laws that apply to the payroll process.,Payroll and Timekeeping Clerks,4.0,4.0
"Keep records of assigned cases, and prepare required reports.","Eligibility Interviewers, Government Programs",3.1666666666666665,4.0
Collect and analyze relevant data to identify real estate market trends.,Appraisers and Assessors of Real Estate,2.9,4.0
"Keep up with developments in area of expertise by reading current journals, books, or magazine articles.",Training and Development Specialists,3.6,4.0
Key information into computer equipment to create layouts for client or supervisor.,Graphic Designers,1.6666666666666667,4.0
"Locate and correct data entry errors, or report them to supervisors.",Data Entry Keyers,3.25,4.0
"Maintain archive of images, photos, or previous work products.",Graphic Designers,2.4,4.0
"Perform descriptive and multivariate statistical analyses of data, using computer software.",Social Science Research Assistants,4.0,4.0
"Examine letters from policyholders or agents, original insurance applications, and other company documents to determine if changes are needed and effects of changes.",Insurance Claims and Policy Processing Clerks,3.0,4.0
Maintain logistics records in accordance with corporate policies.,Logistics Analysts,2.8,4.0
"Code, evaluate, or interpret collected study data.",Clinical Research Coordinators,2.8,4.0
"Classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.","Bookkeeping, Accounting, and Auditing Clerks",3.0,4.0
Evaluate project plans and proposals to assess feasibility issues.,Computer and Information Research Scientists,4.1,4.0
"Maintain student attendance records, grades, and other required records.","Business Teachers, Postsecondary",3.6666666666666665,4.0
Evaluate data pertaining to costs to plan budgets.,Financial Managers,2.6666666666666665,4.0
"Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.","Bookkeeping, Accounting, and Auditing Clerks",3.3,4.0
"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Medical and Health Services Managers,2.3,4.0
"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",Biostatisticians,2.625,4.0
"Perform general office duties, such as scheduling appointments, keeping books, and ordering supplies.",Photographers,3.3,4.0
"Research, test, or verify proper functioning of software patches and fixes.",Computer Systems Engineers/Architects,3.5714285714285716,4.0
"Recommend improvements in products, packaging, shipping, service, or billing methods and procedures to prevent future problems.",Customer Service Representatives,2.4,4.0
"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",Database Administrators,2.5714285714285716,4.0
Reconcile records of bank transactions.,"Bookkeeping, Accounting, and Auditing Clerks",3.75,4.0
"Answer inquiries regarding information, such as schedules, accommodations, procedures, or policies.",Reservation and Transportation Ticket Agents and Travel Clerks,2.6,4.0
Record and maintain all vital and fiscal records and accounts.,"Court, Municipal, and License Clerks",3.2,4.0
"Record case dispositions, court orders, or arrangements made for payment of court fees.","Court, Municipal, and License Clerks",3.4,4.0
"Record details of calls, dispatches, and messages.",Public Safety Telecommunicators,4.0,4.0
"Analyze the probable outcomes of cases, using knowledge of legal precedents.",Lawyers,3.0,4.0
"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",Treasurers and Controllers,2.5,4.0
Register protocol patients with appropriate statistical centers as required.,Clinical Research Coordinators,4.0,4.0
"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",Statisticians,4.5,4.0
Analyze employment-related data and prepare required reports.,Human Resources Specialists,3.1,4.0
"Research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.",Judicial Law Clerks,3.0,4.0
"Research or review regulatory, technical, or market issues related to sustainability.",Sustainability Specialists,2.8333333333333335,4.0
"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",Customer Service Representatives,2.7,4.0
Stay abreast of new types of loans and other financial services and products to better meet customers' needs.,Loan Officers,2.5,4.0
"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data.",Civil Engineers,2.5714285714285716,4.0
"Review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products.",Writers and Authors,3.0,4.0
Analyze equipment performance records to determine the need for repair or replacement.,Network and Computer Systems Administrators,3.6666666666666665,4.0
"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.125,4.0
Analyze monthly department budgeting and accounting reports to maintain expenditure controls.,Budget Analysts,3.375,4.0
"Review and evaluate applicant qualifications or eligibility for specified licensing, according to established guidelines and designated licensing codes.",Human Resources Specialists,3.0,4.0
"Review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audio-visual, and electronic resources.",Librarians and Media Collections Specialists,2.625,4.0
Review and update standard operating procedures or quality assurance manuals.,Quality Control Systems Managers,3.4285714285714284,4.0
Analyze market and delivery systems to assess present and future material availability.,Purchasing Managers,2.9,4.0
Review clinical or other medical research protocols and recommend appropriate statistical analyses.,Biostatisticians,2.6666666666666665,4.0
